股票,牛市天数,牛市占比%,数据起始,数据结束,宽松版(ADX>20)★_年化%,宽松版(ADX>20)★_回撤%,宽松版(ADX>20)★_胜率%,宽松版(ADX>20)★_夏普,宽松版(ADX>20)★_交易数,严格版(ADX>25)_年化%,严格版(ADX>25)_回撤%,严格版(ADX>25)_胜率%,严格版(ADX>25)_夏普,严格版(ADX>25)_交易数,EMA10/20无ADX_年化%,EMA10/20无ADX_回撤%,EMA10/20无ADX_胜率%,EMA10/20无ADX_夏普,EMA10/20无ADX_交易数,MACD确认替代_年化%,MACD确认替代_回撤%,MACD确认替代_胜率%,MACD确认替代_夏普,MACD确认替代_交易数,B&H_年化%,B&H_回撤%,B&H_夏普,超额收益%
hk00992,461,39.9,2021-08-03,2026-04-17,-19.98,39.36,30.8,-0.58,13,-17.81,35.24,22.2,-0.94,9,-20.11,38.74,25.0,-0.4,12,-24.63,44.83,17.6,-0.9,17,33.31,25.89,0.95,-53.29
hk01024,284,24.6,2021-08-03,2026-04-17,-18.2,30.33,25.0,-0.71,4,-1.78,24.6,33.3,0.03,3,4.84,25.5,25.0,0.37,4,-5.26,22.55,50.0,-0.03,6,-1.91,32.49,0.31,-16.29
hk01038,620,53.7,2021-08-03,2026-04-17,-8.63,31.47,25.0,-0.52,13,0.82,19.82,22.2,0.16,9,-6.28,29.17,26.3,-0.29,20,3.04,18.99,31.6,0.34,20,16.74,18.57,0.93,-25.37
hk01044,240,20.8,2021-08-03,2026-04-17,2.44,6.07,20.0,0.38,5,8.91,2.63,50.0,1.44,2,11.47,7.79,33.3,1.22,3,3.52,6.29,60.0,0.6,5,-27.96,39.72,-0.99,30.4
hk01088,812,70.3,2021-08-03,2026-04-17,6.49,34.84,40.0,0.45,15,-0.46,35.61,41.7,0.11,12,0.47,43.68,38.1,0.2,21,10.76,24.1,48.1,0.67,27,44.55,24.23,1.41,-38.06
hk01093,334,28.9,2021-08-03,2026-04-17,50.44,16.44,66.7,1.49,3,18.84,17.3,50.0,0.84,4,35.98,16.44,40.0,1.15,5,19.35,17.18,50.0,0.83,6,1.49,43.26,0.35,48.95
hk01099,424,36.7,2021-08-03,2026-04-17,4.91,18.24,16.7,0.46,6,-3.27,12.65,25.0,-0.39,4,-9.58,38.94,25.0,-0.39,12,-15.71,30.14,28.6,-1.0,14,11.21,27.08,0.6,-6.3
hk01109,387,33.5,2021-08-03,2026-04-17,-9.26,18.68,16.7,-0.62,6,-11.18,17.11,20.0,-1.0,10,-9.2,25.34,22.2,-0.4,10,-16.48,29.11,23.1,-1.27,13,6.93,33.99,0.44,-16.19
hk01113,396,34.3,2021-08-03,2026-04-17,-5.43,18.3,28.6,-0.38,7,7.26,8.14,40.0,0.85,5,5.9,14.48,44.4,0.49,10,-0.63,14.75,36.4,0.01,12,1.96,41.02,0.31,-7.39
hk01177,340,29.4,2021-08-03,2026-04-17,44.74,23.09,20.0,1.48,5,59.87,15.8,66.7,1.95,3,48.2,28.83,16.7,1.48,7,21.71,17.35,25.0,0.99,8,40.13,36.97,1.1,4.61
hk01209,493,42.7,2021-08-03,2026-04-17,-17.57,31.55,0.0,-1.69,7,-9.26,17.36,0.0,-1.41,3,-17.71,42.2,13.3,-0.62,16,-25.57,48.86,23.5,-1.55,18,10.03,43.08,0.53,-27.6
hk01211,449,38.9,2021-08-03,2026-04-17,-5.3,34.57,20.0,-0.08,5,1.74,20.65,66.7,0.23,3,-24.79,43.69,23.1,-0.77,13,-9.87,27.44,25.0,-0.3,12,10.3,35.27,0.54,-15.6
hk01299,410,35.5,2021-08-03,2026-04-17,4.65,13.15,50.0,0.44,6,-6.43,17.71,33.3,-0.59,6,-12.92,20.15,30.8,-0.68,13,-17.85,27.38,14.3,-1.4,14,-1.97,34.13,0.12,6.62
hk01347,508,44.0,2021-08-03,2026-04-17,48.01,38.18,37.5,1.18,8,29.78,47.53,37.5,0.9,8,39.22,43.15,30.0,1.03,11,45.12,44.32,50.0,1.2,11,75.0,52.09,1.35,-26.99
hk01378,581,50.3,2021-08-03,2026-04-17,17.31,31.92,25.0,0.77,12,24.62,28.08,50.0,1.11,6,42.88,33.02,36.4,1.28,12,7.17,32.4,42.1,0.46,20,112.68,36.53,1.91,-95.37
hk01398,652,56.5,2021-08-03,2026-04-17,-2.06,22.09,42.9,-0.07,15,-7.14,29.57,25.0,-0.69,12,3.99,20.62,27.8,0.35,19,4.54,21.38,30.0,0.44,21,36.28,17.09,1.61,-38.34
hk01698,337,38.7,2022-09-21,2026-04-17,89.11,13.07,100.0,2.23,2,44.88,16.67,60.0,1.49,5,126.42,26.24,40.0,2.46,5,13.85,26.34,44.4,0.75,9,117.01,30.61,2.05,-27.9
hk01801,457,39.6,2021-08-03,2026-04-17,12.38,20.7,25.0,0.68,4,16.34,16.26,33.3,0.89,3,-10.57,62.3,14.3,-0.06,15,-18.47,39.14,20.0,-0.65,16,71.12,26.36,1.46,-58.74
hk01810,570,49.4,2021-08-03,2026-04-17,47.2,33.22,40.0,1.66,10,43.72,22.49,40.0,1.78,5,61.76,22.49,40.0,1.89,10,33.15,14.81,50.0,1.38,18,80.38,37.37,1.86,-33.18
hk01876,262,22.7,2021-08-03,2026-04-17,-21.54,22.66,0.0,-2.61,4,0.0,0.0,0.0,0.0,0,-37.97,40.24,0.0,-2.9,13,-27.27,28.36,0.0,-2.5,10,-61.19,69.71,-0.9,39.65
hk01928,352,30.5,2021-08-03,2026-04-17,-12.04,29.2,20.0,-0.77,5,7.67,12.2,100.0,0.69,2,-18.31,33.69,12.5,-0.66,8,-19.71,28.91,0.0,-1.74,9,-6.25,42.9,0.17,-5.79
hk01929,376,32.6,2021-08-03,2026-04-17,19.89,18.14,40.0,1.11,5,0.29,21.6,16.7,0.13,6,-22.55,45.51,27.3,-0.69,12,-14.16,32.83,46.2,-0.43,13,4.26,51.73,0.42,15.63
hk01997,336,29.1,2021-08-03,2026-04-17,-12.02,23.35,16.7,-1.05,6,-10.14,20.29,25.0,-1.04,4,-20.28,37.19,18.2,-1.13,11,-11.53,24.05,20.0,-0.82,10,-19.42,50.93,-0.15,7.4
hk02015,321,28.0,2021-08-12,2026-04-17,-23.36,51.96,14.3,-0.85,7,-9.1,40.3,25.0,-0.28,4,-22.42,47.24,14.3,-0.68,7,-16.64,34.34,12.5,-0.57,8,-26.85,51.33,-0.34,3.49
hk02020,309,26.8,2021-08-03,2026-04-17,-18.94,29.35,0.0,-1.47,6,-15.04,25.92,0.0,-1.44,3,-17.82,32.81,50.0,-0.76,8,-12.24,20.22,22.2,-0.65,9,-10.13,34.6,-0.14,-8.81
hk02057,302,26.1,2021-08-03,2026-04-17,2.69,14.44,16.7,0.28,6,3.22,15.32,50.0,0.33,2,0.65,20.83,20.0,0.18,6,-4.95,11.31,28.6,-0.21,8,-4.06,35.15,0.08,6.75
hk02269,351,30.4,2021-08-03,2026-04-17,-11.65,46.29,14.3,-0.08,7,22.4,27.94,40.0,0.92,5,12.67,42.71,28.6,0.6,8,-3.04,29.93,35.7,0.06,15,-34.71,77.85,0.15,23.06
hk02313,227,19.7,2021-08-03,2026-04-17,-32.45,29.77,0.0,-3.13,6,-8.05,10.06,0.0,-0.86,1,-30.07,27.54,0.0,-1.84,5,-29.86,27.34,0.0,-2.14,6,-37.97,40.34,-1.18,5.52
hk02318,555,48.1,2021-08-03,2026-04-17,13.0,28.69,42.9,0.71,7,11.14,28.41,50.0,0.69,6,0.42,47.26,45.5,0.25,11,7.16,36.28,47.1,0.47,17,8.46,45.94,0.49,4.54
hk02319,186,16.1,2021-08-03,2026-04-17,11.84,10.31,50.0,0.74,2,11.47,10.31,100.0,0.75,1,3.63,11.69,100.0,0.32,2,2.12,11.56,33.3,0.25,3,-66.48,59.9,-1.5,78.32
hk02331,225,19.5,2021-08-03,2026-04-17,-11.65,16.93,25.0,-0.72,4,-20.61,18.62,0.0,-2.73,4,-14.55,25.06,25.0,-0.6,5,-17.69,16.03,16.7,-1.26,6,-73.15,79.73,-0.85,61.5
hk02359,436,37.7,2021-08-03,2026-04-17,-8.44,35.47,14.3,-0.09,8,-2.06,32.71,20.0,0.13,6,11.07,35.25,12.5,0.56,9,4.45,28.59,40.0,0.35,11,18.45,55.86,0.72,-26.89
hk02382,213,18.4,2021-08-03,2026-04-17,24.91,17.46,66.7,0.96,3,3.66,23.44,40.0,0.32,5,23.71,23.59,100.0,0.87,3,14.22,14.39,50.0,0.81,6,62.38,35.18,1.37,-37.47
hk02388,547,47.4,2021-08-03,2026-04-17,20.29,11.47,57.1,1.45,7,12.93,14.54,44.4,1.05,9,14.5,19.81,33.3,0.95,13,5.86,11.63,41.2,0.58,18,32.72,24.48,1.48,-12.43
hk02618,171,14.8,2021-08-03,2026-04-17,15.5,13.47,100.0,0.79,2,9.85,13.47,33.3,0.64,3,-17.52,19.16,25.0,-0.38,5,13.88,12.16,66.7,0.82,3,-10.99,46.75,0.33,26.49
hk02628,577,50.0,2021-08-03,2026-04-17,32.59,30.92,50.0,1.21,6,20.66,27.79,50.0,0.93,8,43.61,31.05,50.0,1.37,8,26.68,33.34,46.7,1.12,15,44.28,37.44,1.25,-11.69
hk02688,317,27.6,2021-08-03,2026-04-17,-9.09,15.05,16.7,-1.57,6,-1.87,4.25,0.0,-0.63,1,-3.75,11.31,33.3,-0.22,6,1.84,7.99,33.3,0.25,6,-36.86,53.68,-0.93,27.77
hk02899,610,52.8,2021-08-03,2026-04-17,9.35,26.58,30.0,0.56,10,5.13,27.61,30.0,0.4,10,23.98,39.0,35.7,0.91,14,-15.18,54.06,26.1,-0.62,23,74.4,29.52,1.76,-65.05
hk03690,218,18.9,2021-08-03,2026-04-17,31.63,25.68,25.0,1.11,4,40.12,20.24,50.0,1.35,4,34.17,24.62,25.0,1.08,4,29.45,25.52,20.0,1.07,5,-10.11,40.91,0.19,41.74
hk03692,522,45.2,2021-08-03,2026-04-17,2.16,33.23,23.1,0.27,13,18.22,19.48,42.9,0.99,7,16.03,25.46,36.4,0.7,11,-11.43,38.37,38.9,-0.39,18,48.32,28.81,1.3,-46.16
hk03888,338,29.3,2021-08-03,2026-04-17,4.34,30.14,57.1,0.35,7,-8.51,28.86,25.0,-0.27,4,-8.24,34.67,30.0,-0.06,10,4.13,33.33,33.3,0.34,9,16.92,38.86,0.67,-12.58
hk03968,484,41.9,2021-08-03,2026-04-17,15.52,20.48,50.0,0.85,6,5.04,22.53,55.6,0.4,9,4.26,24.93,44.4,0.35,10,3.16,21.75,50.0,0.3,13,5.72,40.91,0.41,9.8
hk03988,722,62.5,2021-08-03,2026-04-17,13.7,19.22,38.5,0.99,14,-0.15,18.21,33.3,0.08,13,8.79,23.09,37.5,0.62,17,3.26,21.41,38.5,0.36,27,40.37,17.39,1.78,-26.67
hk03993,566,49.0,2021-08-03,2026-04-17,47.16,31.68,40.0,1.46,10,36.12,31.67,37.5,1.27,8,58.39,29.32,53.8,1.58,14,20.38,25.77,50.0,0.91,19,110.12,35.03,1.95,-62.96
hk06181,126,28.5,2024-06-28,2026-04-17,-39.04,24.11,0.0,-1.63,2,-31.74,19.7,0.0,-2.52,2,-29.68,38.55,50.0,-0.61,3,-51.5,35.88,0.0,-2.95,3,-8.52,37.8,0.24,-30.52
hk06618,395,34.2,2021-08-03,2026-04-17,16.07,27.82,16.7,0.77,6,15.06,18.14,28.6,0.78,7,17.59,28.4,28.6,0.75,7,39.28,15.31,57.1,1.71,7,-5.12,70.44,0.42,21.19
hk06690,336,29.1,2021-08-03,2026-04-17,-10.97,31.47,20.0,-0.61,5,1.01,17.46,100.0,0.17,2,-18.24,39.71,30.0,-0.84,10,-0.75,32.06,25.0,0.08,8,-3.32,30.35,0.12,-7.65
hk06862,360,31.2,2021-08-03,2026-04-17,-23.39,41.59,0.0,-1.02,6,-10.33,26.85,20.0,-0.78,5,-37.36,50.21,10.0,-1.49,10,-22.29,34.98,10.0,-1.34,10,1.72,36.67,0.37,-25.11
hk09618,212,18.4,2021-08-03,2026-04-17,34.4,26.4,50.0,1.16,2,46.53,18.67,100.0,1.53,1,20.31,32.21,50.0,0.76,4,18.65,31.28,16.7,0.78,6,-43.52,59.86,-0.5,77.92
hk09626,421,36.5,2021-08-03,2026-04-17,-14.95,49.36,33.3,-0.17,6,-39.04,60.3,0.0,-1.53,10,-1.58,48.92,44.4,0.26,9,-1.73,52.07,30.8,0.21,13,-2.6,52.24,0.38,-12.35
hk09633,454,39.3,2021-08-03,2026-04-17,-2.96,19.85,12.5,-0.16,8,8.8,6.18,100.0,1.01,2,-14.74,40.22,5.6,-0.83,18,-19.35,32.73,11.8,-1.64,17,4.78,29.02,0.37,-7.74
hk09660,119,32.8,2024-10-24,2026-04-17,-29.7,19.89,33.3,-1.8,3,-24.56,17.35,0.0,-1.97,2,34.92,18.21,66.7,1.11,3,1.07,9.79,50.0,0.19,2,25.51,27.1,0.84,-55.21
hk09863,313,36.0,2022-09-29,2026-04-17,15.69,26.67,40.0,0.67,5,5.39,26.93,25.0,0.41,4,13.08,27.37,42.9,0.6,7,6.66,24.43,44.4,0.43,9,20.03,40.43,0.74,-4.34
hk09866,115,11.4,2022-03-10,2026-04-17,-25.63,12.64,0.0,-2.25,2,-18.12,8.72,0.0,-2.39,1,-46.64,27.91,0.0,-2.59,2,-36.12,21.73,0.0,-2.11,2,-89.06,65.21,-2.1,63.43
hk09868,407,35.2,2021-08-03,2026-04-17,-20.13,49.08,28.6,-0.64,7,6.35,34.91,50.0,0.44,4,-29.57,62.81,18.8,-0.45,16,-15.9,37.56,25.0,-0.29,12,25.91,52.51,0.81,-46.04
hk09888,290,25.1,2021-08-03,2026-04-17,7.82,24.03,50.0,0.5,2,10.12,22.17,50.0,0.61,2,-19.08,36.09,25.0,-0.47,8,2.26,22.99,22.2,0.26,9,-11.71,44.17,0.07,19.53
hk09901,598,51.8,2021-08-03,2026-04-17,27.61,18.99,57.1,1.18,7,11.42,23.95,66.7,0.65,6,-4.31,50.03,31.2,0.19,17,-12.38,40.0,38.1,-0.18,21,50.55,48.78,1.17,-22.94
hk09961,628,54.4,2021-08-03,2026-04-17,5.91,21.87,57.1,0.42,8,-11.44,34.75,28.6,-0.58,7,-9.38,42.31,22.2,-0.11,19,-12.69,41.85,40.0,-0.44,21,51.37,23.58,1.34,-45.46
hk09988,441,38.2,2021-08-03,2026-04-17,17.02,25.05,42.9,0.81,7,20.16,16.6,66.7,0.98,3,53.7,19.26,60.0,1.62,5,47.34,19.6,44.4,1.77,9,14.37,36.9,0.62,2.65
hk09999,477,41.3,2021-08-03,2026-04-17,-3.13,20.66,28.6,-0.06,7,0.21,13.12,20.0,0.1,5,-6.92,36.62,27.3,-0.17,11,-7.06,35.21,26.7,-0.27,15,16.1,26.32,0.7,-19.23
