股票,牛市天数,牛市占比%,数据起始,数据结束,宽松版(ADX>20)★_年化%,宽松版(ADX>20)★_回撤%,宽松版(ADX>20)★_胜率%,宽松版(ADX>20)★_夏普,宽松版(ADX>20)★_交易数,严格版(ADX>25)_年化%,严格版(ADX>25)_回撤%,严格版(ADX>25)_胜率%,严格版(ADX>25)_夏普,严格版(ADX>25)_交易数,EMA10/20无ADX_年化%,EMA10/20无ADX_回撤%,EMA10/20无ADX_胜率%,EMA10/20无ADX_夏普,EMA10/20无ADX_交易数,MACD确认替代_年化%,MACD确认替代_回撤%,MACD确认替代_胜率%,MACD确认替代_夏普,MACD确认替代_交易数,B&H_年化%,B&H_回撤%,B&H_夏普,超额收益%
LYV,590,54.8,2022-01-03,2026-04-17,-2.76,23.47,36.4,-0.11,11,-4.46,21.91,22.2,-0.32,9,11.02,25.17,33.3,0.72,13,5.08,20.79,37.5,0.48,17,28.36,25.13,1.21,-31.12
MAA,259,24.1,2022-01-03,2026-04-17,6.92,9.98,25.0,0.74,4,-11.45,15.62,16.7,-1.6,6,6.48,13.28,40.0,0.59,5,-3.29,9.04,25.0,-0.35,8,18.04,10.29,1.13,-11.12
MAR,795,59.9,2021-01-04,2026-04-17,9.44,15.72,50.0,0.89,9,-6.25,24.94,27.3,-0.7,11,0.28,41.63,27.8,0.15,19,-4.42,31.26,32.0,-0.27,26,33.04,17.03,1.39,-23.6
MAS,463,43.0,2022-01-03,2026-04-17,7.48,15.02,60.0,0.65,10,-5.49,21.44,25.0,-0.54,8,6.61,20.21,33.3,0.54,9,1.09,19.36,42.9,0.18,14,16.18,18.5,0.88,-8.7
MCD,610,56.7,2022-01-03,2026-04-17,-9.78,22.79,7.1,-1.26,14,-6.39,16.71,33.3,-1.03,9,-7.48,26.2,21.1,-0.6,19,-3.62,15.97,30.0,-0.36,20,13.26,11.1,0.98,-23.04
MCHP,559,42.1,2021-01-04,2026-04-17,-9.72,26.15,0.0,-0.73,8,-7.92,23.27,16.7,-0.66,6,-10.18,41.96,33.3,-0.32,16,-14.76,39.06,41.2,-0.95,18,6.85,37.15,0.44,-16.57
MCK,754,70.1,2022-01-03,2026-04-17,-2.18,21.44,46.2,-0.11,13,-13.32,36.25,12.5,-1.38,16,10.09,22.89,43.8,0.66,16,-0.83,22.63,33.3,0.04,27,34.67,14.15,1.6,-36.85
MDLZ,478,36.0,2021-01-04,2026-04-17,3.31,11.54,33.3,0.58,6,4.77,7.83,66.7,0.91,3,-7.72,21.71,27.3,-0.6,11,-5.08,14.17,30.8,-0.48,13,9.1,13.84,0.65,-5.79
MDT,449,41.7,2022-01-03,2026-04-17,-12.09,21.35,11.1,-1.57,9,-3.69,6.62,0.0,-1.01,4,-17.71,29.35,11.8,-1.43,17,-9.45,22.59,23.5,-1.08,17,9.41,9.03,0.63,-21.5
MELI,659,49.6,2021-01-04,2026-04-17,-8.75,28.47,30.8,-0.59,13,-8.76,29.34,14.3,-1.07,7,-33.17,66.29,23.8,-0.92,21,1.86,20.35,35.0,0.23,20,14.03,47.53,0.67,-22.78
MET,520,48.3,2022-01-03,2026-04-17,-8.41,18.45,30.0,-0.74,10,-13.84,27.43,11.1,-1.52,9,-14.15,34.5,25.0,-1.05,16,-5.1,15.0,31.2,-0.47,16,13.74,19.48,0.86,-22.15
MGM,345,32.1,2022-01-03,2026-04-17,-29.76,40.63,0.0,-2.95,7,-12.57,19.88,0.0,-1.56,3,-13.11,38.61,22.2,-0.53,10,-22.63,34.74,18.2,-1.69,12,6.04,32.97,0.41,-35.8
MHK,289,26.9,2022-01-03,2026-04-17,-1.81,16.36,40.0,0.03,5,-1.25,17.6,33.3,0.05,3,7.14,17.19,33.3,0.46,6,1.94,22.55,42.9,0.23,7,10.29,29.19,0.53,-12.1
MKC,280,26.0,2022-01-03,2026-04-17,-10.11,14.84,14.3,-1.14,7,-2.74,9.62,33.3,-0.29,3,-7.98,14.05,28.6,-0.65,7,2.08,6.36,60.0,0.3,5,-7.58,24.55,-0.37,-2.53
MLM,581,54.0,2022-01-03,2026-04-17,3.11,15.5,44.4,0.34,9,4.07,17.07,50.0,0.52,6,5.79,25.86,33.3,0.46,12,-0.93,20.92,31.2,0.01,16,29.64,14.62,1.42,-26.53
MMC,584,57.8,2022-01-03,2026-01-13,-5.73,19.28,25.0,-0.63,12,-8.19,20.78,37.5,-1.25,8,-0.42,13.58,41.7,0.04,13,-4.09,18.62,35.0,-0.45,21,17.5,8.4,1.29,-23.23
MMM,493,45.8,2022-01-03,2026-04-17,3.62,13.28,57.1,0.43,7,5.93,9.52,100.0,0.9,4,5.11,29.7,23.1,0.38,13,-12.52,31.23,16.7,-1.18,18,38.34,14.28,1.5,-34.72
MNST,626,47.1,2021-01-04,2026-04-17,-2.29,12.9,33.3,-0.16,13,-3.96,11.67,28.6,-0.48,7,-0.72,28.24,29.4,0.06,18,-3.58,19.91,28.6,-0.27,22,22.67,17.7,1.19,-24.96
MOS,118,11.0,2022-01-03,2026-04-17,-38.42,22.44,0.0,-2.65,3,-31.9,18.7,0.0,-2.24,3,-3.44,18.6,25.0,0.0,4,-2.13,7.1,0.0,-0.09,1,36.05,18.21,1.13,-74.47
MPC,588,54.6,2022-01-03,2026-04-17,8.65,19.02,55.6,0.73,9,0.84,15.53,50.0,0.16,6,1.76,38.13,26.3,0.23,19,-4.7,36.12,28.6,-0.2,21,38.23,25.67,1.34,-29.58
MPWR,631,47.5,2021-01-04,2026-04-17,7.28,18.68,41.7,0.46,13,-7.97,29.28,27.3,-0.31,12,13.0,37.76,46.2,0.62,14,10.23,22.21,33.3,0.59,19,56.94,24.29,1.41,-49.66
MRK,454,42.2,2022-01-03,2026-04-17,0.65,16.64,40.0,0.14,10,-7.35,19.57,25.0,-0.78,8,6.92,21.07,40.0,0.58,11,-10.45,27.58,18.8,-1.06,16,20.33,34.16,0.92,-19.68
MRNA,204,19.0,2022-01-03,2026-04-17,3.91,22.13,50.0,0.33,2,-16.01,16.71,33.3,-1.44,3,-18.63,29.27,25.0,-0.26,5,0.06,17.37,33.3,0.19,4,-76.57,83.89,-0.62,80.48
MRVL,622,46.8,2021-01-04,2026-04-17,-9.35,48.03,18.2,-0.13,12,7.15,31.96,50.0,0.45,5,3.01,52.73,26.7,0.34,16,-29.36,73.42,16.7,-1.02,19,35.37,44.08,0.99,-44.72
MS,604,56.1,2022-01-03,2026-04-17,1.67,23.15,23.1,0.22,14,-0.5,21.31,50.0,0.04,9,12.72,26.09,35.7,0.83,15,14.9,10.93,50.0,1.36,19,40.4,19.19,1.65,-38.73
MSCI,413,38.4,2022-01-03,2026-04-17,-6.86,22.56,33.3,-0.68,6,-7.02,14.16,0.0,-1.2,4,-11.21,26.87,18.2,-0.62,11,-14.73,30.9,20.0,-1.17,15,9.5,11.54,0.58,-16.36
MSI,636,59.1,2022-01-03,2026-04-17,1.99,10.2,46.2,0.28,13,-2.26,14.9,30.0,-0.23,10,3.28,23.66,40.0,0.34,15,-0.92,12.8,36.8,-0.07,19,30.34,14.08,1.66,-28.35
MSTR,649,48.9,2021-01-04,2026-04-17,60.47,44.6,50.0,1.3,8,52.64,41.76,50.0,1.22,6,69.0,50.51,46.2,1.33,13,117.35,36.21,57.1,2.01,14,84.66,73.54,1.42,-24.19
MU,602,45.3,2021-01-04,2026-04-17,41.4,22.66,41.7,1.33,13,15.23,20.5,50.0,0.73,10,62.7,25.11,45.5,1.63,12,3.1,24.71,40.9,0.3,23,93.42,40.98,1.78,-52.02
NDAQ,589,54.7,2022-01-03,2026-04-17,12.31,9.42,37.5,1.17,9,8.16,11.84,50.0,0.86,6,16.98,20.15,41.7,1.24,13,12.45,8.23,46.2,1.28,13,27.6,19.32,1.51,-15.29
NDSN,433,40.2,2022-01-03,2026-04-17,-3.36,21.9,10.0,-0.27,11,3.3,10.58,20.0,0.42,5,-1.68,22.63,27.3,-0.02,12,-9.69,27.29,15.4,-1.02,14,17.27,21.34,0.94,-20.63
NEE,372,34.6,2022-01-03,2026-04-17,11.84,8.32,42.9,1.14,7,7.99,6.05,75.0,0.91,4,-5.66,22.2,27.3,-0.28,12,-0.48,20.18,30.0,0.04,10,14.32,18.95,0.76,-2.48
NEM,420,39.0,2022-01-03,2026-04-17,6.6,34.46,22.2,0.44,9,-0.94,28.96,33.3,0.13,6,45.09,28.15,60.0,1.46,6,-14.89,40.3,43.8,-0.54,17,77.34,27.25,1.82,-70.74
NFLX,784,59.0,2021-01-04,2026-04-17,20.82,21.49,46.2,1.29,13,22.75,14.34,66.7,1.52,9,20.76,25.72,31.2,1.06,16,8.36,23.44,39.1,0.68,23,20.47,59.97,0.83,0.35
NI,600,55.8,2022-01-03,2026-04-17,0.82,21.28,27.3,0.16,11,6.44,8.92,57.1,0.99,7,-1.84,26.27,25.0,-0.05,21,1.04,16.04,38.1,0.18,22,29.65,9.99,1.85,-28.83
NKE,138,12.8,2022-01-03,2026-04-17,-11.53,6.49,0.0,-2.09,2,0.0,0.0,0.0,0.0,0,-13.25,7.49,0.0,-1.4,2,-8.63,7.29,50.0,-0.96,2,-65.21,44.11,-2.58,53.68
NOC,463,43.0,2022-01-03,2026-04-17,7.59,13.15,57.1,0.67,7,3.66,7.69,33.3,0.45,6,4.27,27.9,30.8,0.37,13,4.1,18.46,21.4,0.4,14,19.46,16.19,1.04,-11.87
NOV,302,28.1,2022-01-03,2026-04-17,1.97,16.66,50.0,0.24,4,-0.7,8.25,33.3,-0.01,3,-31.04,40.06,12.5,-1.25,9,-11.46,20.62,12.5,-0.67,8,-7.17,38.33,0.05,9.14
NTRS,530,49.3,2022-01-03,2026-04-17,13.5,9.78,85.7,1.1,8,9.17,7.57,75.0,0.89,4,16.88,15.46,44.4,1.04,10,15.47,16.17,47.1,1.25,18,34.64,15.63,1.51,-21.14
NUE,472,43.9,2022-01-03,2026-04-17,13.5,14.84,66.7,0.91,7,1.09,21.99,37.5,0.18,9,18.78,20.03,62.5,1.1,9,3.07,17.03,30.8,0.33,14,17.12,32.79,0.77,-3.62
NVR,537,49.9,2022-01-03,2026-04-17,9.8,11.78,57.1,0.9,7,7.3,7.58,42.9,0.78,7,20.86,12.51,57.1,1.37,7,0.89,16.01,43.8,0.16,16,24.12,24.36,1.27,-14.32
NXPI,566,42.6,2021-01-04,2026-04-17,-3.3,18.06,40.0,-0.16,10,-3.49,15.74,40.0,-0.23,5,-12.83,42.27,29.4,-0.54,17,-1.14,22.81,31.2,0.01,16,9.75,29.35,0.53,-13.05
O,361,33.6,2022-01-03,2026-04-17,2.01,18.15,37.5,0.3,9,6.59,9.24,40.0,0.93,5,5.4,15.56,33.3,0.58,10,4.6,13.54,50.0,0.64,11,10.7,16.29,0.78,-8.69
ODFL,535,40.3,2021-01-04,2026-04-17,4.13,14.26,60.0,0.39,6,0.58,15.69,40.0,0.14,5,-18.42,49.98,26.7,-0.77,16,-9.81,38.76,18.8,-0.42,17,18.95,24.93,0.81,-14.82
OKE,542,50.4,2022-01-03,2026-04-17,-0.31,16.6,33.3,0.04,9,-1.91,11.04,28.6,-0.19,7,-0.66,30.29,33.3,0.08,15,-9.93,23.05,35.3,-0.73,17,21.99,25.0,1.12,-22.3
OMC,459,42.7,2022-01-03,2026-04-17,1.87,13.55,33.3,0.29,6,3.11,11.14,66.7,0.56,3,-17.45,41.51,30.0,-0.77,10,-27.85,46.68,25.0,-1.62,16,8.91,24.87,0.54,-7.04
ON,370,34.4,2022-01-03,2026-04-17,-8.07,22.27,20.0,-0.3,6,-10.42,21.69,16.7,-0.62,6,29.62,27.24,57.1,1.07,8,37.77,18.23,66.7,1.72,10,23.55,55.31,0.83,-31.62
ORCL,609,56.6,2022-01-03,2026-04-17,-4.29,33.45,46.2,-0.04,13,1.63,27.82,55.6,0.22,9,10.05,31.91,42.9,0.56,14,5.81,25.12,53.3,0.43,15,55.01,35.72,1.37,-59.3
ORLY,939,70.7,2021-01-04,2026-04-17,-2.73,21.17,35.3,-0.2,17,-0.13,18.47,41.7,0.04,12,-2.5,22.31,31.0,-0.08,29,-2.4,19.52,35.3,-0.14,34,25.06,14.35,1.42,-27.79
OXY,202,18.8,2022-01-03,2026-04-17,-16.94,16.56,0.0,-1.54,3,-5.98,11.82,0.0,-0.71,1,-18.09,26.05,40.0,-0.84,5,-0.55,16.87,25.0,0.04,4,-19.79,37.92,-0.28,2.85
PANW,735,55.3,2021-01-04,2026-04-17,-16.55,48.63,14.3,-0.72,14,-9.3,37.01,33.3,-0.4,6,-7.94,39.1,41.2,-0.1,17,-0.69,27.57,47.6,0.08,21,32.13,30.49,1.08,-48.68
PAYC,229,21.3,2022-01-03,2026-04-17,-11.7,12.59,0.0,-2.12,2,-4.9,5.87,0.0,-1.25,2,-50.6,51.68,12.5,-1.47,8,-5.89,15.0,20.0,-0.37,5,-32.61,47.23,-0.49,20.91
PAYX,627,47.2,2021-01-04,2026-04-17,-8.28,25.35,15.4,-0.82,13,-5.88,18.32,37.5,-0.73,8,-1.89,23.04,28.6,-0.04,14,-6.97,33.46,35.0,-0.62,20,13.03,17.33,0.79,-21.31
PCAR,714,53.8,2021-01-04,2026-04-17,16.03,15.5,60.0,1.37,11,9.68,15.55,40.0,1.02,10,24.78,19.35,46.2,1.55,14,17.03,14.81,47.1,1.53,18,39.66,18.69,1.83,-23.63
PCG,505,46.9,2022-01-03,2026-04-17,-1.24,14.44,33.3,-0.05,9,2.23,12.39,60.0,0.32,5,0.99,15.18,58.3,0.17,12,-2.5,14.22,26.7,-0.15,15,11.1,27.19,0.67,-12.34
PDD,466,35.1,2021-01-04,2026-04-17,4.08,30.25,33.3,0.34,6,8.37,19.88,75.0,0.62,4,1.43,44.75,30.0,0.28,10,-0.57,37.92,23.1,0.17,13,44.71,31.52,1.1,-40.63
PEG,446,41.4,2022-01-03,2026-04-17,11.96,14.87,25.0,1.23,4,14.14,4.75,100.0,1.79,4,-5.88,32.6,8.3,-0.34,12,-3.28,19.4,41.7,-0.25,12,21.73,12.96,1.32,-9.77
PEP,443,41.2,2022-01-03,2026-04-17,-5.5,15.27,12.5,-0.9,8,-3.24,11.55,0.0,-0.61,4,-3.72,24.53,30.0,-0.3,11,-0.68,21.15,30.0,-0.02,11,0.43,22.23,0.14,-5.93
PFE,246,22.9,2022-01-03,2026-04-17,-18.07,23.47,14.3,-1.81,7,-7.25,11.99,33.3,-0.9,3,-21.22,23.95,12.5,-1.69,9,-18.41,20.74,14.3,-1.66,7,-35.18,44.67,-0.76,17.11
PFG,506,47.0,2022-01-03,2026-04-17,-12.43,27.3,18.2,-1.26,11,-5.27,16.59,25.0,-0.72,4,-5.85,33.57,23.1,-0.28,14,-1.75,20.65,28.6,-0.09,15,16.6,15.17,0.92,-29.03
PG,442,41.1,2022-01-03,2026-04-17,-4.93,13.41,12.5,-0.87,8,-5.05,8.79,0.0,-1.48,2,-7.5,15.17,33.3,-0.63,12,-9.43,19.0,21.4,-1.12,14,4.93,12.5,0.46,-9.86
PGR,584,54.3,2022-01-03,2026-04-17,7.1,16.17,33.3,0.56,12,4.79,17.08,37.5,0.46,8,11.32,20.24,35.7,0.71,14,14.72,9.55,38.9,1.17,18,47.49,13.47,1.91,-40.39
PH,788,73.2,2022-01-03,2026-04-17,15.1,12.44,58.3,1.18,13,9.97,10.07,80.0,0.98,10,22.78,19.5,50.0,1.34,13,5.82,15.22,54.2,0.56,25,46.7,15.92,1.88,-31.6
PHM,638,59.3,2022-01-03,2026-04-17,5.4,31.8,15.4,0.43,13,9.26,27.31,15.4,0.69,13,24.77,32.75,33.3,1.22,15,9.22,33.57,47.4,0.7,19,50.82,23.27,1.8,-45.42
PLD,396,36.8,2022-01-03,2026-04-17,-3.02,7.24,0.0,-0.54,5,-3.1,5.66,0.0,-0.8,2,-11.64,27.91,14.3,-0.92,15,-13.42,27.5,13.3,-1.38,16,15.45,13.6,0.88,-18.47
PLTR,704,53.0,2021-01-04,2026-04-17,10.33,49.63,41.7,0.53,12,19.91,41.99,62.5,0.79,8,-3.15,74.92,50.0,0.49,14,20.65,30.82,63.6,0.82,22,95.51,69.72,1.63,-85.18
PM,520,48.3,2022-01-03,2026-04-17,23.23,14.47,50.0,1.6,4,22.86,11.39,60.0,1.66,5,9.06,26.42,18.2,0.66,11,2.1,17.53,40.0,0.26,15,34.72,14.05,1.51,-11.49
PNC,483,44.9,2022-01-03,2026-04-17,4.18,14.44,18.2,0.44,12,-3.17,17.34,16.7,-0.3,6,11.98,18.27,40.0,0.84,11,3.75,16.81,33.3,0.42,16,28.08,17.21,1.38,-23.9
PNR,665,61.8,2022-01-03,2026-04-17,-3.35,27.63,21.4,-0.21,14,1.32,18.1,33.3,0.2,9,5.14,25.4,33.3,0.42,16,-2.38,20.43,34.8,-0.12,23,33.79,15.71,1.5,-37.14
PNW,590,54.8,2022-01-03,2026-04-17,-3.89,11.22,44.4,-0.44,9,0.31,7.8,40.0,0.09,5,0.01,13.21,35.7,0.09,15,-2.31,18.73,15.8,-0.19,20,20.63,12.68,1.36,-24.52
POOL,227,21.1,2022-01-03,2026-04-17,-17.74,17.21,0.0,-2.09,3,-0.52,4.49,0.0,-0.09,1,-16.79,15.75,28.6,-1.04,7,-18.34,24.01,25.0,-1.66,8,3.78,14.71,0.32,-21.52
PPG,272,25.3,2022-01-03,2026-04-17,-5.93,10.39,25.0,-0.88,4,-3.11,5.08,0.0,-0.77,3,-14.09,17.85,11.1,-0.9,9,-16.8,20.37,11.1,-2.06,9,-2.05,24.44,0.06,-3.88
PPL,564,52.4,2022-01-03,2026-04-17,-0.63,13.78,50.0,-0.02,8,0.3,12.07,37.5,0.09,8,4.53,12.27,45.5,0.47,12,8.65,11.59,69.2,0.99,14,18.67,12.84,1.28,-19.3
PRU,439,40.8,2022-01-03,2026-04-17,-11.18,29.23,20.0,-0.98,10,-9.25,23.99,20.0,-0.92,5,-15.28,34.14,23.1,-1.09,13,-4.76,19.27,40.0,-0.51,15,11.48,14.85,0.74,-22.66
PSA,247,23.0,2022-01-03,2026-04-17,7.12,5.37,33.3,1.16,4,4.98,5.37,100.0,0.97,1,1.0,14.47,20.0,0.17,6,-8.11,16.72,25.0,-0.78,9,14.79,18.69,0.84,-7.67
PSX,569,52.9,2022-01-03,2026-04-17,2.68,21.55,20.0,0.29,10,-0.06,23.39,42.9,0.09,7,-5.36,36.92,25.0,-0.16,16,-5.24,32.65,31.6,-0.24,19,31.03,27.85,1.27,-28.35
PTON,177,16.4,2022-01-03,2026-04-17,-42.2,31.95,0.0,-1.63,3,-46.87,35.87,0.0,-3.35,4,-36.31,38.65,25.0,-1.04,4,-18.93,27.73,25.0,-0.55,4,-65.58,68.9,-0.41,23.38
PWR,752,69.9,2022-01-03,2026-04-17,2.38,26.72,40.0,0.27,15,2.44,11.16,55.6,0.32,9,31.29,22.37,61.5,1.37,14,4.42,19.8,26.9,0.38,27,65.84,18.42,1.9,-63.46
PYPL,201,15.1,2021-01-04,2026-04-17,20.75,7.58,100.0,1.28,2,7.33,9.05,100.0,0.58,3,-81.96,75.49,25.0,-1.17,4,-5.4,13.54,33.3,-0.35,6,-79.93,77.63,-0.98,100.68
QCOM,383,28.8,2021-01-04,2026-04-17,-19.18,34.22,27.3,-1.12,11,-6.38,21.09,25.0,-0.36,4,-13.33,34.81,18.2,-0.45,11,-8.89,23.28,27.3,-0.46,11,2.38,35.1,0.33,-21.56
QRVO,367,34.1,2022-01-03,2026-04-17,-2.34,7.68,0.0,-0.46,3,0.0,0.0,0.0,0.0,0,-42.4,55.22,6.7,-2.58,15,-28.8,39.33,30.8,-2.03,13,-13.52,37.2,-0.2,11.18
RCL,707,65.7,2022-01-03,2026-04-17,35.98,16.7,58.3,1.58,12,11.74,20.38,46.2,0.76,13,72.37,16.7,77.8,2.44,10,31.68,10.75,70.0,1.82,21,86.34,25.73,2.25,-50.36
REGN,720,54.2,2021-01-04,2026-04-17,3.15,16.55,45.5,0.36,11,1.6,14.48,33.3,0.25,9,8.51,18.57,43.8,0.65,16,-5.51,15.35,41.7,-0.44,24,12.15,42.05,0.65,-9.0
RF,539,50.1,2022-01-03,2026-04-17,-3.52,19.18,41.7,-0.16,12,-10.17,23.51,11.1,-1.11,9,9.71,18.08,45.5,0.67,12,11.32,11.25,46.7,1.07,16,21.38,22.02,0.95,-24.9
RHI,161,15.0,2022-01-03,2026-04-17,-0.41,7.13,0.0,-0.0,1,-0.41,7.13,0.0,-0.0,1,-14.86,15.14,20.0,-1.6,5,-9.24,10.94,25.0,-1.18,4,-15.27,21.18,-0.76,14.86
RL,766,71.2,2022-01-03,2026-04-17,18.78,14.11,40.0,1.09,11,13.79,13.92,50.0,1.0,12,28.82,19.07,66.7,1.31,16,8.05,23.52,26.9,0.61,27,53.8,27.06,1.75,-35.02
RMD,387,36.0,2022-01-03,2026-04-17,-3.3,12.91,25.0,-0.16,8,-6.84,12.98,25.0,-0.52,4,-7.42,23.2,25.0,-0.35,8,4.84,15.3,37.5,0.44,8,7.14,24.68,0.45,-10.44
ROK,478,44.4,2022-01-03,2026-04-17,-2.3,21.91,25.0,-0.09,8,0.08,16.63,40.0,0.09,5,-12.79,37.83,23.5,-0.69,18,-10.62,28.4,23.8,-0.8,22,30.59,19.7,1.2,-32.89
ROL,660,61.3,2022-01-03,2026-04-17,-11.39,28.76,20.0,-0.96,15,-8.71,27.31,11.1,-1.09,9,-6.27,22.23,25.0,-0.3,16,-5.31,19.25,42.1,-0.39,19,21.33,14.49,1.05,-32.72
ROP,610,45.9,2021-01-04,2026-04-17,-2.05,13.02,23.1,-0.23,13,-2.08,15.58,50.0,-0.29,6,-14.81,35.38,16.7,-1.34,24,-17.36,37.37,14.3,-2.23,28,8.77,15.05,0.66,-10.82
ROST,686,51.7,2021-01-04,2026-04-17,12.94,18.11,36.4,1.05,11,9.47,10.05,42.9,1.01,7,26.12,14.55,38.5,1.6,14,-2.23,11.64,40.9,-0.16,22,41.02,16.96,1.98,-28.08
RSG,617,57.3,2022-01-03,2026-04-17,7.69,13.01,16.7,0.85,12,8.32,11.38,25.0,0.98,8,13.45,13.25,46.2,1.18,13,2.49,14.04,44.4,0.38,18,26.96,10.41,1.84,-19.27
RTX,685,63.7,2022-01-03,2026-04-17,15.99,9.06,53.8,1.33,13,4.15,19.6,44.4,0.49,9,14.48,14.17,35.7,1.04,14,2.68,12.24,31.8,0.32,22,31.5,12.13,1.67,-15.51
RVTY,221,30.2,2023-05-16,2026-04-17,-13.82,21.81,33.3,-0.96,3,-21.56,19.2,0.0,-2.34,3,-27.73,30.6,14.3,-1.71,7,-9.76,18.66,20.0,-0.55,5,-15.33,24.9,-0.4,1.51
SBAC,169,15.7,2022-01-03,2026-04-17,-9.41,11.26,0.0,-1.21,2,-12.85,9.43,0.0,-2.15,2,-31.14,22.72,0.0,-3.05,6,-25.07,17.66,0.0,-3.32,5,-16.2,14.41,-0.62,6.79
SBUX,397,29.9,2021-01-04,2026-04-17,-3.13,18.18,25.0,-0.14,8,1.21,12.85,75.0,0.19,4,-5.97,21.04,36.4,-0.3,12,2.31,15.8,36.4,0.28,12,-1.3,26.04,0.14,-1.83
SCHW,546,50.7,2022-01-03,2026-04-17,-4.86,20.75,33.3,-0.36,9,-2.06,14.24,28.6,-0.2,7,-12.56,34.05,21.4,-0.73,14,-4.22,22.09,38.9,-0.3,18,14.27,26.48,0.73,-19.13
SHOP,662,49.8,2021-01-04,2026-04-17,-6.5,32.98,33.3,-0.08,12,-14.54,40.85,25.0,-0.68,12,26.51,28.76,33.3,0.91,12,-21.72,48.17,14.3,-0.97,21,-0.83,77.49,0.59,-5.67
SHW,442,41.1,2022-01-03,2026-04-17,13.35,10.04,60.0,1.21,5,8.02,9.33,40.0,0.84,5,8.07,21.9,23.1,0.67,13,-0.39,24.32,38.5,0.04,13,23.75,15.42,1.32,-10.4
SIRI,125,11.6,2022-01-03,2026-04-17,-2.51,10.55,0.0,-0.06,2,9.76,9.13,100.0,0.74,2,-17.15,15.97,0.0,-0.68,3,13.59,4.05,100.0,1.36,2,-64.29,57.83,-0.95,61.78
SLB,297,27.6,2022-01-03,2026-04-17,-10.27,17.99,20.0,-0.71,6,1.1,8.41,33.3,0.18,4,-14.38,29.21,37.5,-0.68,9,-2.9,25.03,25.0,-0.11,9,11.29,35.63,0.56,-21.56
SNA,665,61.8,2022-01-03,2026-04-17,-3.09,17.3,30.8,-0.21,13,-2.38,14.03,28.6,-0.27,7,9.61,20.33,58.3,0.72,13,-2.87,20.99,42.9,-0.14,22,28.07,14.63,1.48,-31.16
SNPS,550,41.4,2021-01-04,2026-04-17,-5.93,22.98,30.8,-0.22,13,-13.37,29.8,0.0,-1.04,10,7.76,18.87,54.5,0.5,11,5.25,9.5,43.8,0.45,16,26.57,20.23,1.04,-32.5
SO,554,51.5,2022-01-03,2026-04-17,2.09,16.45,40.0,0.28,10,-1.54,21.61,25.0,-0.11,8,-6.04,18.81,26.7,-0.43,16,-5.64,15.2,28.6,-0.52,21,16.56,12.73,1.15,-14.47
SOLV,177,34.4,2024-04-01,2026-04-17,-23.53,18.07,0.0,-2.9,2,-19.71,15.99,0.0,-2.9,2,-12.55,22.69,20.0,-0.4,5,-7.9,11.79,25.0,-0.31,4,9.53,18.4,0.51,-33.06
SPG,623,57.9,2022-01-03,2026-04-17,-2.53,20.2,26.7,-0.13,16,3.16,8.16,40.0,0.46,6,9.14,18.62,33.3,0.7,13,4.95,14.63,33.3,0.56,22,34.05,17.51,1.6,-36.58
SPGI,539,50.1,2022-01-03,2026-04-17,5.53,10.56,44.4,0.61,9,0.11,13.0,28.6,0.08,7,6.82,12.52,41.7,0.62,12,4.62,15.23,43.8,0.52,16,19.61,13.78,1.29,-14.08
SRE,407,37.8,2022-01-03,2026-04-17,-2.03,10.64,44.4,-0.13,9,-2.28,10.31,33.3,-0.25,6,-4.94,15.13,25.0,-0.29,13,-3.37,11.23,33.3,-0.27,12,20.63,14.12,1.26,-22.66
STE,446,41.4,2022-01-03,2026-04-17,-4.66,16.56,28.6,-0.54,7,-4.53,15.58,20.0,-0.66,5,-5.79,25.79,18.2,-0.38,11,-4.01,9.22,36.4,-0.42,11,17.54,11.23,1.05,-22.2
STLD,539,50.1,2022-01-03,2026-04-17,1.68,37.33,33.3,0.22,10,-8.01,31.33,20.0,-0.55,10,33.78,22.7,44.4,1.4,10,7.71,16.8,47.4,0.55,20,55.57,25.45,1.71,-53.89
STX,716,53.9,2021-01-04,2026-04-17,17.28,30.81,35.7,0.77,15,29.67,17.86,70.0,1.22,11,65.66,31.5,54.5,1.75,12,17.25,23.15,50.0,0.83,23,104.63,46.06,1.99,-87.35
STZ,224,20.8,2022-01-03,2026-04-17,-7.8,7.93,33.3,-1.27,3,-3.21,5.83,50.0,-0.54,2,-7.38,12.82,40.0,-0.53,5,8.12,4.54,66.7,1.18,3,-30.45,42.38,-0.67,22.65
SWK,278,25.8,2022-01-03,2026-04-17,-16.31,23.09,14.3,-1.05,7,-17.81,24.61,20.0,-1.38,5,-4.75,18.76,33.3,-0.14,6,-6.18,11.99,28.6,-0.39,7,-3.74,30.61,0.09,-12.57
SWKS,269,25.0,2022-01-03,2026-04-17,-12.13,12.89,0.0,-2.1,2,-8.85,9.41,0.0,-1.72,1,-37.54,39.49,8.3,-2.58,12,-31.57,34.01,11.1,-2.67,9,-36.33,38.21,-1.11,24.2
SYF,534,49.6,2022-01-03,2026-04-17,-3.65,24.99,50.0,-0.07,10,-7.88,24.86,37.5,-0.37,8,7.17,22.23,42.9,0.46,14,7.61,13.62,46.7,0.67,15,48.0,20.69,1.44,-51.65
