股票,牛市天数,牛市占比%,数据起始,数据结束,宽松版(ADX>20)★_年化%,宽松版(ADX>20)★_回撤%,宽松版(ADX>20)★_胜率%,宽松版(ADX>20)★_夏普,宽松版(ADX>20)★_交易数,严格版(ADX>25)_年化%,严格版(ADX>25)_回撤%,严格版(ADX>25)_胜率%,严格版(ADX>25)_夏普,严格版(ADX>25)_交易数,EMA10/20无ADX_年化%,EMA10/20无ADX_回撤%,EMA10/20无ADX_胜率%,EMA10/20无ADX_夏普,EMA10/20无ADX_交易数,MACD确认替代_年化%,MACD确认替代_回撤%,MACD确认替代_胜率%,MACD确认替代_夏普,MACD确认替代_交易数,B&H_年化%,B&H_回撤%,B&H_夏普,超额收益%
CRM,388,36.1,2022-01-03,2026-04-17,23.48,15.27,42.9,1.29,7,19.09,12.4,50.0,1.16,6,33.46,15.18,50.0,1.55,6,9.84,12.52,40.0,0.75,10,39.5,20.55,1.52,-16.02
CROX,365,33.9,2022-01-03,2026-04-17,-4.87,31.03,50.0,-0.07,8,-20.41,40.98,40.0,-1.11,5,13.88,31.17,37.5,0.65,8,7.03,23.36,44.4,0.48,9,21.25,36.62,0.77,-26.12
CRWD,579,43.6,2021-01-04,2026-04-17,10.31,31.71,41.7,0.62,12,-0.79,38.01,33.3,0.07,9,30.56,25.67,45.5,1.19,11,9.24,22.39,35.3,0.59,17,24.91,51.63,0.86,-14.6
CSX,525,39.5,2021-01-04,2026-04-17,-4.75,17.32,45.5,-0.45,12,-4.76,12.53,28.6,-0.64,7,-2.86,21.24,27.3,-0.13,12,2.52,19.47,42.9,0.34,15,15.24,17.88,0.89,-19.99
CTAS,773,58.2,2021-01-04,2026-04-17,-0.76,28.57,26.7,0.02,15,1.86,10.73,18.2,0.3,11,8.24,23.28,33.3,0.64,18,-4.74,21.18,29.6,-0.39,27,26.68,15.1,1.5,-27.44
CTRA,336,31.2,2022-01-03,2026-04-17,3.89,13.04,33.3,0.38,6,16.09,12.95,100.0,1.32,2,-19.34,38.9,18.2,-1.08,11,-1.71,19.97,20.0,-0.04,10,14.99,14.93,0.75,-11.1
CTSH,528,39.8,2021-01-04,2026-04-17,0.87,12.8,33.3,0.16,9,-1.98,9.43,28.6,-0.19,7,-4.74,19.66,21.4,-0.26,14,-3.39,19.37,37.5,-0.25,16,2.05,32.75,0.27,-1.18
CTVA,515,47.9,2022-01-03,2026-04-17,-2.84,13.49,42.9,-0.29,8,-4.39,11.33,20.0,-0.66,5,-5.62,30.57,21.4,-0.26,15,-8.17,29.08,27.8,-0.64,18,15.88,22.62,0.86,-18.72
CVNA,650,60.4,2022-01-03,2026-04-17,14.24,40.11,42.9,0.61,14,-8.67,46.36,54.5,-0.01,11,84.43,40.06,69.2,1.45,13,70.02,25.06,47.4,1.56,19,185.98,53.47,2.01,-171.74
CVS,337,31.3,2022-01-03,2026-04-17,-0.48,16.37,25.0,0.04,8,1.0,12.69,20.0,0.17,5,-23.35,32.08,7.1,-1.4,14,-26.97,34.71,15.4,-2.0,13,5.54,21.39,0.4,-6.02
