date,open,last,high,low,volume,close
2024-03-19,44.304,44.98,45.319,43.973,4330159,
2024-03-20,45.274,45.665,45.74,44.68,4236243,
2024-03-21,48.733,47.936,49.643,47.921,11606154,
2024-03-22,47.838,48.086,48.44,47.447,5439407,
2024-03-25,47.515,48.869,49.282,47.402,6259079,
2024-03-26,49.485,51.253,52.102,49.29,11428943,
2024-03-27,51.877,50.869,51.907,49.959,6283168,
2024-03-28,51.433,51.32,52.035,51.177,7935551,
2024-04-01,51.832,53.283,54.411,51.809,12500729,
2024-04-02,52.268,51.764,52.433,50.944,6647103,
2024-04-03,51.839,53.862,54.238,51.215,10929098,
2024-04-04,55.005,53.05,56.299,52.892,9698340,
2024-04-05,55.02,54.983,55.246,53.238,8263754,
2024-04-08,56.404,54.862,57.848,53.825,7550403,
2024-04-09,56.916,54.637,56.968,53.795,8326470,
2024-04-10,53.817,54.336,54.968,53.403,7681332,
2024-04-11,54.509,55.577,55.795,54.103,5928473,
2024-04-12,55.088,54.193,55.141,53.945,5328713,
2024-04-15,54.938,52.967,55.163,52.689,5627377,
2024-04-16,52.636,53.441,53.584,52.035,4467713,
2024-04-17,54.306,52.772,55.05,52.576,6524443,
2024-04-18,52.614,51.38,53.185,51.313,4347218,
2024-04-19,50.756,49.673,51.448,49.342,7030034,
2024-04-22,49.899,50.425,51.29,49.515,6832771,
2024-04-23,50.538,52.584,52.824,50.538,7710638,
2024-04-24,53.434,52.305,54.246,51.26,7400400,
2024-04-25,50.192,52.223,52.719,49.057,8613203,
2024-04-26,53.396,53.667,53.983,50.38,13869066,
2024-04-29,53.464,52.539,54.479,51.884,8998630,
2024-04-30,52.411,53.268,54.268,52.321,7783293,
2024-05-01,52.772,53.027,54.14,51.794,8642317,
2024-05-02,53.133,52.433,53.253,51.072,6375545,
2024-05-03,53.396,53.358,53.877,52.704,6003596,
2024-05-06,54.148,54.599,55.524,54.088,6550098,
2024-05-07,54.359,53.764,54.727,53.599,3932658,
2024-05-08,53.027,54.178,54.321,52.779,4232156,
2024-05-09,54.043,54.216,54.727,53.516,4567230,
2024-05-10,54.765,53.847,55.096,53.832,3701111,
2024-05-13,54.208,53.373,54.599,53.058,3828384,
2024-05-14,53.419,55.306,55.396,53.065,7083944,
2024-05-15,55.682,56.923,56.983,55.562,7974310,
2024-05-16,56.78,55.727,57.043,55.69,4969232,
2024-05-17,55.246,54.223,55.411,54.133,6195169,
2024-05-20,54.449,54.938,55.833,54.426,5603352,
2024-05-21,53.922,55.66,56.164,53.546,4782189,
2024-05-22,55.878,55.306,55.93,54.599,3446949,
2024-05-23,56.916,55.772,57.826,55.539,5393159,
2024-05-24,56.216,56.261,56.765,55.652,2743577,
2024-05-28,56.968,57.262,57.547,56.607,4779296,
2024-05-29,56.585,58.232,58.405,56.479,7524452,
2024-05-30,57.668,56.788,57.72,55.983,6287414,
2024-05-31,56.788,56.622,57.262,54.712,7700824,
2024-06-03,56.991,56.389,57.307,55.742,4161723,
2024-06-04,56.216,55.607,56.329,55.096,3824131,
2024-06-05,56.389,57.833,58.029,56.216,5501411,
2024-06-06,57.683,56.592,57.826,56.479,3877734,
2024-06-07,56.314,56.389,57.013,55.998,5640273,
2024-06-10,55.998,57.983,58.126,55.915,6080879,
2024-06-11,57.961,57.547,58.262,57.066,3928388,
2024-06-12,58.405,59.555,60.044,58.209,5619595,
2024-06-13,59.39,59.849,60.525,59.217,6791486,
2024-06-14,58.781,58.751,59.412,57.841,3152422,
2024-06-17,58.66,60.059,60.217,58.111,4672549,
2024-06-18,60.443,60.337,61.33,59.886,5463627,
2024-06-20,60.435,57.374,60.518,57.209,5902130,
2024-06-21,57.028,56.983,57.758,56.179,6825178,
2024-06-24,56.637,56.705,57.487,56.284,5122733,
2024-06-25,56.961,57.803,57.953,56.517,3764357,
2024-06-26,57.788,56.758,58.006,56.412,3663392,
2024-06-27,56.164,57.623,58.465,55.509,4344877,
2024-06-28,57.532,56.983,58.796,56.788,8582818,
2024-07-01,57.314,57.442,57.623,55.938,3605204,
2024-07-02,56.983,58.698,58.743,56.75,2701599,
2024-07-03,58.69,58.502,59.142,58.262,1959031,
2024-07-05,58.668,58.036,58.668,57.795,2313946,
2024-07-08,58.442,59.036,59.503,58.156,3704855,
2024-07-09,59.006,58.984,59.976,58.766,3117651,
2024-07-10,59.533,60.345,60.45,59.224,4428647,
2024-07-11,60.285,58.54,60.315,58.126,4130734,
2024-07-12,58.314,59.239,59.623,57.803,4554114,
2024-07-15,59.788,59.277,60.232,58.653,5405394,
2024-07-16,58.841,57.953,59.495,57.893,4257110,
2024-07-17,56.773,53.99,56.833,53.9,10699920,
2024-07-18,54.554,52.824,54.592,51.756,8726931,
2024-07-19,53.133,52.509,53.885,52.05,4315893,
2024-07-22,53.561,54.945,55.013,53.163,5421088,
2024-07-23,54.419,54.87,55.238,54.411,2789326,
2024-07-24,54.832,54.156,55.93,54.02,6386900,
2024-07-25,51.501,50.004,51.952,49.937,13600965,
2024-07-26,50.989,51.335,51.365,50.418,4473066,
2024-07-29,51.892,49.959,52.02,49.673,6354088,
2024-07-30,50.034,47.515,50.117,47.447,9253465,
2024-07-31,49.914,50.425,50.854,48.635,13538936,
2024-08-01,45.379,45.522,47.522,43.702,26887917,
2024-08-02,43.928,43.04,43.958,41.784,13250778,
2024-08-05,40.634,42.86,43.364,39.686,10891320,
2024-08-06,42.581,43.153,44.221,42.581,9543684,
2024-08-07,44.108,42.303,44.77,41.912,8197530,
2024-08-08,43.311,44.356,44.702,42.461,6067049,
2024-08-09,44.371,44.883,45.063,43.717,5335101,
2024-08-12,44.883,45.402,46.244,44.386,6863829,
2024-08-13,45.868,46.312,46.597,45.733,5104705,
2024-08-14,46.815,46.259,47.192,45.582,4512608,
2024-08-15,47.154,47.756,47.944,46.56,5661354,
2024-08-16,47.507,48.169,48.455,47.334,4496876,
2024-08-19,47.981,48.959,49.057,47.522,5147110,
2024-08-20,48.921,48.447,48.989,48.305,3704447,
2024-08-21,48.801,48.906,48.959,48.056,4308555,
2024-08-22,48.726,48.162,49.252,48.019,3177693,
2024-08-23,48.32,48.395,48.914,47.718,3045446,
2024-08-26,48.049,47.146,48.35,46.951,3247198,
2024-08-27,46.5,47.267,47.455,45.996,5045809,
2024-08-28,46.785,46.951,47.161,45.958,4673061,
2024-08-29,47.583,47.402,48.297,46.778,4321260,
2024-08-30,48.222,49.327,49.403,47.718,6416508,
2024-09-03,48.523,47.425,48.523,46.778,5891696,
2024-09-04,46.597,47.342,47.989,46.229,3681230,
2024-09-05,46.921,47.086,47.831,46.921,2316752,
2024-09-06,46.74,45.702,47.019,45.123,4151069,
2024-09-09,46.56,47.086,47.214,46.184,4171144,
2024-09-10,47.049,47.222,47.628,46.665,3287554,
2024-09-11,47.59,47.613,47.718,45.838,3617586,
2024-09-12,47.613,47.568,48.207,46.883,3982416,
2024-09-13,47.823,48.899,48.989,47.823,3581482,
2024-09-16,48.192,48.199,48.38,47.583,4492382,
2024-09-17,48.635,49.553,49.824,48.455,5202361,
2024-09-18,49.184,48.447,49.673,48.214,4439395,
2024-09-19,49.929,49.613,50.072,49.154,4820170,
2024-09-20,49.072,50.2,50.297,48.869,7683693,
2024-09-23,50.41,49.854,50.643,49.846,2908156,
2024-09-24,49.854,49.982,50.282,48.274,6650014,
2024-09-25,49.568,49.636,49.891,49.079,3791421,
2024-09-26,52.885,52.99,53.719,51.523,8834927,
2024-09-27,52.99,52.208,52.99,51.764,4091786,
2024-09-30,51.809,51.358,52.313,51.125,5327060,
2024-10-01,51.207,50.207,51.343,49.997,3490244,
2024-10-02,50.109,50.027,51.215,49.952,3828837,
2024-10-03,49.636,50.072,50.899,49.5,3964262,
2024-10-04,51.027,49.899,51.11,49.553,4565007,
2024-10-07,49.839,49.967,50.598,49.538,3261645,
2024-10-08,50.042,49.764,50.2,49.395,3874383,
2024-10-09,49.455,48.493,49.515,48.252,4436661,
2024-10-10,47.838,48.169,48.808,47.718,3512013,
2024-10-11,47.929,48.793,49.162,47.891,4046539,
2024-10-14,49.215,50.26,50.305,49.184,4426852,
2024-10-15,50.388,50.35,51.689,50.275,5974608,
2024-10-16,50.388,50.982,51.185,50.027,4441489,
2024-10-17,51.741,50.651,51.862,50.501,3647768,
2024-10-18,51.08,50.41,51.29,50.132,2949103,
2024-10-21,50.14,50.583,50.884,49.688,5074575,
2024-10-22,50.245,50.959,51.268,49.606,6289348,
2024-10-23,50.478,50.094,50.982,49.583,5476340,
2024-10-24,50.621,49.876,50.794,49.786,8803145,
2024-10-25,54.592,52.23,55.276,52.133,17644446,
2024-10-28,52.351,52.426,53.486,51.343,7901963,
2024-10-29,52.539,51.365,52.644,50.959,6251064,
2024-10-30,50.974,50.403,52.057,50.365,4689152,
2024-10-31,50.019,49.117,50.734,48.884,4572078,
2024-11-01,49.448,49.545,50.47,49.335,3824525,
2024-11-04,49.372,49.049,50.004,48.966,2705047,
2024-11-05,49.26,50.26,50.486,49.26,4173262,
2024-11-06,51.787,52.576,52.787,51.335,5724503,
2024-11-07,53.02,52.975,53.569,52.418,3767689,
2024-11-08,52.644,52.351,52.975,52.027,3517578,
2024-11-11,52.697,50.674,52.749,50.598,4453125,
2024-11-12,49.786,48.101,50.019,47.417,8477220,
2024-11-13,47.944,47.176,47.944,46.853,4532293,
2024-11-14,47.192,47.545,47.898,47.169,3631339,
2024-11-15,46.966,47.229,47.47,46.853,3502102,
2024-11-18,47.267,48.568,48.643,47.071,3629176,
2024-11-19,48.124,49.102,49.192,47.898,2866602,
2024-11-20,49.372,48.011,49.395,47.244,3827857,
2024-11-21,48.485,49.545,50.019,48.056,4039511,
2024-11-22,49.944,49.959,50.252,49.515,5180924,
2024-11-25,50.463,52.215,52.591,50.433,8819009,
2024-11-26,52.17,54.915,55.081,52.163,10728109,
2024-11-27,54.93,53.772,55.261,53.095,10284501,
2024-11-29,54.148,54.893,55.389,53.9,2756262,
2024-12-02,55.035,55.223,55.592,54.652,5392654,
2024-12-03,54.983,53.915,55.735,52.787,5377689,
2024-12-04,54.592,54.404,54.592,53.088,4170096,
2024-12-05,54.411,54.231,55.524,54.103,3116274,
2024-12-06,54.456,53.449,54.659,53.148,3760717,
2024-12-09,53.373,53.2,53.998,53.125,3124607,
2024-12-10,53.246,51.756,53.388,51.373,3300217,
2024-12-11,52.418,52.569,52.945,52.012,2580929,
2024-12-12,52.569,49.628,52.674,48.876,9876740,
2024-12-13,49.809,48.974,49.839,48.658,7996985,
2024-12-16,48.53,49.109,50.087,48.169,5393003,
2024-12-17,49.034,48.613,49.643,48.56,3918120,
2024-12-18,49.967,47.786,50.538,47.455,5550309,
2024-12-19,46.567,44.838,46.861,44.68,13538859,
2024-12-20,44.529,45.304,46.214,44.364,12732690,
2024-12-23,45.131,46.297,46.334,45.131,4111354,
2024-12-24,46.146,46.402,46.439,45.966,1512128,
2024-12-26,46.259,46.409,46.778,46.229,2146125,
2024-12-27,46.154,45.65,46.334,45.424,4161957,
2024-12-30,44.868,44.838,45.229,44.236,4410166,
2024-12-31,44.875,44.845,45.469,44.65,3935195,
2025-01-02,45.018,46.53,47.267,45.018,5272899,
2025-01-03,46.665,48.184,48.222,46.665,4145498,
2025-01-06,49.109,49.372,50.741,49.087,6633215,
2025-01-07,49.53,48.786,50.109,48.726,4522113,
2025-01-08,48.207,48.177,48.771,47.673,4616581,
2025-01-10,47.462,47.244,47.966,46.094,4653281,
2025-01-13,46.447,46.643,47.319,46.146,3951849,
2025-01-14,46.981,47.184,47.53,46.56,4478381,
2025-01-15,48.177,48.605,49.455,48.132,5007167,
2025-01-16,48.387,48.32,48.929,47.688,5310279,
2025-01-17,49.139,48.914,49.891,47.981,7160505,
2025-01-21,49.357,50.711,51.283,49.102,7045600,
2025-01-22,51.516,51.614,53.012,51.35,9340485,
2025-01-23,50.846,51.651,51.877,50.734,7059509,
2025-01-24,51.824,50.696,52.223,50.658,6046619,
2025-01-27,49.342,48.432,49.342,47.334,7592341,
2025-01-28,48.56,47.282,48.65,46.492,7293685,
2025-01-29,47.929,47.229,48.244,46.921,10666627,
2025-01-30,49.974,49.47,50.831,47.906,16554238,
2025-01-31,49.034,48.981,51.11,48.756,8220492,
2025-02-03,48.154,48.447,49.846,47.786,6359804,
2025-02-04,48.004,47.989,49.079,47.613,5171154,
2025-02-05,47.989,48.673,49.079,47.688,5341825,
2025-02-06,48.816,48.493,49.237,48.252,3073190,
2025-02-07,48.688,48.478,49.297,47.808,3817578,
2025-02-10,49.335,51.922,52.163,49.252,10480245,
2025-02-11,51.741,51.832,53.17,51.192,9233334,
2025-02-12,51.305,50.598,51.907,49.861,8269852,
2025-02-13,50.658,50.809,51.35,50.14,5593689,
2025-02-14,51.042,51.433,51.794,50.741,5677878,
2025-02-18,52.802,54.171,54.216,52.561,9364000,
2025-02-19,53.892,53.772,54.344,53.531,5238598,
2025-02-20,53.772,53.614,53.96,52.576,4625443,
2025-02-21,53.892,51.674,53.892,50.967,9057427,
2025-02-24,52.363,48.79,52.423,48.004,18354424,
2025-02-25,48.482,48.84,50.89,48.482,11679742,
2025-02-26,49.537,49.925,50.472,48.541,8547001,
2025-02-27,50.253,47.974,51.239,47.884,9392068,
2025-02-28,48.103,48.7,49.845,47.775,9268624,
2025-03-03,49.308,46.789,49.596,46.282,8841792,
2025-03-04,45.993,44.421,46.133,44.042,11765684,
2025-03-05,44.451,43.993,44.48,43.047,7615709,
2025-03-06,42.719,41.256,42.918,41.166,11790248,
2025-03-07,41.295,41.504,42.281,40.22,12084920,
2025-03-10,40.489,40.35,40.698,39.235,10563682,
2025-03-11,40.21,41.604,42.639,40.121,9283833,
2025-03-12,42.41,42.758,43.495,42.062,5998747,
2025-03-13,42.37,41.833,42.838,41.514,5495279,
2025-03-14,42.987,44.321,44.64,42.749,7882093,
2025-03-17,44.351,44.54,45.227,44.212,5734481,
2025-03-18,44.331,44.132,44.351,43.465,5206079,
2025-03-19,44.162,44.689,45.217,43.943,3603170,
2025-03-20,44.052,44.301,45.316,44.042,4910064,
2025-03-21,43.684,43.455,43.903,42.977,7713159,
2025-03-24,44.49,44.102,44.65,43.246,5619790,
2025-03-25,43.883,43.186,44.072,42.34,8749529,
2025-03-26,43.296,42.42,43.425,42.012,7243959,
2025-03-27,42.002,41.713,42.709,41.664,4909942,
2025-03-28,41.206,40.429,41.793,40.3,4640234,
2025-03-31,39.603,40.24,40.32,38.917,8212192,
2025-04-01,39.912,40.698,40.778,39.663,5292712,
2025-04-02,40.131,41.584,42.032,40.071,5017511,
2025-04-03,38.578,33.99,38.718,33.85,21307161,
2025-04-04,32.557,30.397,32.945,29.62,22939124,
2025-04-07,29.481,31.014,33.253,28.695,14472073,
2025-04-08,32.497,31.402,34.627,30.576,17547238,
2025-04-09,31.193,36.13,37.195,30.427,20134784,
2025-04-10,35.632,34.706,35.951,33.552,15245506,
2025-04-11,34.199,34.239,34.906,33.263,8654125,
2025-04-14,36.289,35.652,36.448,35.115,9947418,
2025-04-15,35.642,35.761,36.16,35.314,6199499,
2025-04-16,35.622,35.453,36.08,34.836,7265439,
2025-04-17,36.01,36.339,36.528,35.343,7393624,
2025-04-21,35.921,35.791,36.11,35.343,6676630,
2025-04-22,36.189,36.508,36.826,35.811,5086929,
2025-04-23,38.15,37.523,38.917,37.294,5526143,
2025-04-24,38.051,39.982,40.171,38.011,5943864,
2025-04-25,40.011,40.589,40.877,39.713,4158669,
2025-04-28,40.4,40.718,40.937,39.992,5916486,
2025-04-29,40.519,40.429,41.057,40.4,6871713,
2025-04-30,42.778,43.654,43.863,41.634,15906049,
2025-05-01,44.49,43.744,44.938,43.654,9378325,
2025-05-02,44.779,44.48,45.167,44.271,8263610,
2025-05-05,43.744,44.819,45.396,43.744,7521973,
2025-05-06,44.371,44.082,44.699,43.903,4952585,
2025-05-07,44.202,44.092,44.451,43.395,7564655,
2025-05-08,44.739,44.092,44.918,43.963,5320670,
2025-05-09,44.451,43.893,45.018,43.674,4960149,
2025-05-12,46.66,46.352,47.267,46.182,6957449,
2025-05-13,46.829,48.78,49.636,46.461,8113728,
2025-05-14,48.601,48.969,49.606,48.352,8649645,
2025-05-15,48.939,49.517,49.537,48.581,8249387,
2025-05-16,49.765,49.755,50.034,49.308,4955613,
2025-05-19,48.83,50.482,50.562,48.79,5283150,
2025-05-20,50.482,50.392,51.348,50.114,4930421,
2025-05-21,49.895,49.258,51.02,49.099,7278957,
2025-05-22,49.328,49.606,50.85,49.049,5802959,
2025-05-23,48.989,49.945,50.154,48.77,5763168,
2025-05-27,50.83,51.577,51.746,50.383,6374548,
2025-05-28,51.527,52.104,52.542,51.398,6782086,
2025-05-29,52.97,52.303,53.1,51.746,4571539,
2025-05-30,51.786,51.308,52.164,51.01,7402770,
2025-06-02,51.189,51.945,52.164,50.93,4214640,
2025-06-03,52.094,53.518,53.667,51.637,5635320,
2025-06-04,53.849,54.278,54.607,53.32,4739635,
2025-06-05,54.727,54.896,55.455,54.068,10981615,
2025-06-06,55.754,55.295,56.591,55.265,5952193,
2025-06-09,56.372,56.861,57.299,55.923,6549905,
2025-06-10,57.04,55.794,57.23,55.415,7168084,
2025-06-11,56.252,55.514,56.681,55.026,4411506,
2025-06-12,55.125,55.624,55.893,54.976,3608882,
2025-06-13,54.697,55.544,56.113,54.447,10554505,
2025-06-16,56.332,57.249,57.529,56.113,5552451,
2025-06-17,57.918,58.406,60.421,57.718,9616536,
2025-06-18,58.526,59.024,59.762,58.366,6647734,
2025-06-20,59.713,59.124,59.772,58.805,9426272,
2025-06-23,58.835,60.211,60.341,58.496,4626989,
2025-06-24,60.62,61.896,62.146,60.401,6021185,
2025-06-25,62.355,62.375,62.714,61.956,4530312,
2025-06-26,62.475,63.332,63.582,62.355,5930399,
2025-06-27,63.332,63.113,63.482,62.475,6642309,
2025-06-30,63.422,63.811,64.16,62.934,6074642,
2025-07-01,63.502,63.661,64.03,62.764,5360877,
2025-07-02,63.462,65.596,65.746,62.834,7125003,
2025-07-03,65.746,65.895,66.643,65.586,5162095,
2025-07-07,65.616,65.038,65.945,64.778,6232189,
2025-07-08,65.746,63.841,65.815,63.492,8355471,
2025-07-09,64.16,64.459,64.938,63.981,8534415,
2025-07-10,64.778,64.878,65.427,64.409,3917443,
2025-07-11,64.569,65.955,66.444,64.05,5339157,
2025-07-14,65.855,66.743,67.162,65.058,5100413,
2025-07-15,67.76,67.341,67.87,66.982,6335121,
2025-07-16,67.341,66.344,67.411,65.616,4780272,
