date,unit_nav
2023-08-24,1.1465
2023-08-25,1.1251
2023-08-28,1.1295
2023-08-29,1.1568
2023-08-30,1.1777
2023-08-31,1.1852
2023-09-01,1.1967
2023-09-04,1.2072
2023-09-05,1.2034
2023-09-06,1.2051
2023-09-07,1.1817
2023-09-08,1.1714
2023-09-11,1.1683
2023-09-12,1.1627
2023-09-13,1.1578
2023-09-14,1.1597
2023-09-15,1.1736
2023-09-18,1.1482
2023-09-19,1.1469
2023-09-20,1.1341
2023-09-21,1.119
2023-09-22,1.1331
2023-09-25,1.1341
2023-09-26,1.1184
2023-09-27,1.117
2023-09-28,1.1232
2023-10-09,1.1357
2023-10-10,1.1342
2023-10-11,1.1533
2023-10-12,1.1755
2023-10-13,1.1739
2023-10-16,1.1506
2023-10-17,1.1771
2023-10-18,1.1691
2023-10-19,1.1549
2023-10-20,1.1394
2023-10-23,1.1274
2023-10-24,1.1506
2023-10-25,1.1536
2023-10-26,1.1252
2023-10-27,1.1361
2023-10-30,1.1651
2023-10-31,1.152
2023-11-01,1.1582
2023-11-02,1.1802
2023-11-03,1.1973
2023-11-06,1.2373
2023-11-07,1.2421
2023-11-08,1.2332
2023-11-09,1.2276
2023-11-10,1.2302
2023-11-13,1.221
2023-11-14,1.2209
2023-11-15,1.2376
2023-11-16,1.2346
2023-11-17,1.2372
2023-11-20,1.2299
2023-11-21,1.2306
2023-11-22,1.2187
2023-11-23,1.2122
2023-11-24,1.2015
2023-11-27,1.2189
2023-11-28,1.2282
2023-11-29,1.2295
2023-11-30,1.2419
2023-12-01,1.2308
2023-12-04,1.2195
2023-12-05,1.1838
2023-12-06,1.1846
2023-12-07,1.1752
2023-12-08,1.1929
2023-12-11,1.2029
2023-12-12,1.2094
2023-12-13,1.2063
2023-12-14,1.2199
2023-12-15,1.2165
2023-12-18,1.2111
2023-12-19,1.2175
2023-12-20,1.2184
2023-12-21,1.2273
2023-12-22,1.2223
2023-12-25,1.2147
2023-12-26,1.2051
2023-12-27,1.2233
2023-12-28,1.233
2023-12-29,1.2355
2023-12-31,1.2354
2024-01-02,1.2283
2024-01-03,1.1922
2024-01-04,1.1808
2024-01-05,1.1703
2024-01-08,1.149
2024-01-09,1.1485
2024-01-10,1.1318
2024-01-11,1.1418
2024-01-12,1.1238
2024-01-15,1.1238
2024-01-16,1.1096
2024-01-17,1.0889
2024-01-18,1.1164
2024-01-19,1.1428
2024-01-22,1.1409
2024-01-23,1.1376
2024-01-24,1.1332
2024-01-25,1.1369
