date,unit_nav,daily_return_pct
2023-10-16,0.939,-1.3
2023-10-17,0.9349,-0.44
2023-10-18,0.9139,-2.25
2023-10-19,0.9103,-0.39
2023-10-20,0.9,-1.13
2023-10-23,0.8762,-2.64
2023-10-24,0.8802,0.46
2023-10-25,0.8853,0.58
2023-10-26,0.8951,1.11
2023-10-27,0.9007,0.63
2023-10-30,0.9155,1.64
2023-10-31,0.9067,-0.96
2023-11-01,0.9036,-0.34
2023-11-02,0.8875,-1.78
2023-11-03,0.9132,2.9
2023-11-06,0.9415,3.1
2023-11-07,0.9441,0.28
2023-11-08,0.9436,-0.05
2023-11-09,0.9423,-0.14
2023-11-10,0.9371,-0.55
2023-11-13,0.9494,1.31
2023-11-14,0.9461,-0.35
2023-11-15,0.9512,0.54
2023-11-16,0.9377,-1.42
2023-11-17,0.9538,1.72
2023-11-20,0.9774,2.47
2023-11-21,0.9715,-0.6
2023-11-22,0.9481,-2.41
2023-11-23,0.9566,0.9
2023-11-24,0.9393,-1.81
2023-11-27,0.9425,0.34
2023-11-28,0.951,0.9
2023-11-29,0.9521,0.12
2023-11-30,0.946,-0.64
2023-12-01,0.9485,0.26
2023-12-04,0.9498,0.14
2023-12-05,0.9244,-2.67
2023-12-06,0.9233,-0.12
2023-12-07,0.922,-0.14
2023-12-08,0.9299,0.86
2023-12-11,0.9413,1.23
2023-12-12,0.9382,-0.33
2023-12-13,0.9373,-0.1
2023-12-14,0.9271,-1.09
2023-12-15,0.9246,-0.27
2023-12-18,0.909,-1.69
2023-12-19,0.9144,0.59
2023-12-20,0.8995,-1.63
2023-12-21,0.907,0.83
2023-12-22,0.9062,-0.09
2023-12-25,0.9151,0.98
2023-12-26,0.8999,-1.66
2023-12-27,0.9045,0.51
2023-12-28,0.9267,2.45
2023-12-29,0.9421,1.66
2023-12-31,0.9421,0.0
2024-01-02,0.9369,-0.55
2024-01-03,0.9251,-1.26
2024-01-04,0.9132,-1.29
2024-01-05,0.8919,-2.33
2024-01-08,0.8734,-2.07
2024-01-09,0.8854,1.37
2024-01-10,0.8742,-1.26
2024-01-11,0.8904,1.85
2024-01-12,0.8785,-1.34
2024-01-15,0.8729,-0.64
2024-01-16,0.8698,-0.36
2024-01-17,0.84,-3.43
2024-01-18,0.8442,0.5
2024-01-19,0.8302,-1.66
2024-01-22,0.7879,-5.1
2024-01-23,0.8034,1.97
2024-01-24,0.8078,0.55
2024-01-25,0.8275,2.44
2024-01-26,0.8159,-1.4
2024-01-29,0.791,-3.05
2024-01-30,0.7735,-2.21
2024-01-31,0.7453,-3.65
2024-02-01,0.7442,-0.15
