| date | open | last | high | low | volume | amount | exchange |
| 2026-03-27 | 6453.89 | 6368.85 | 6453.89 | 6356.08 | 3141142335 | 20005464360265 | 0 |
| 2026-03-26 | 6555.86 | 6477.16 | 6573.22 | 6473.79 | 3002944635 | 19450552872037 | 0 |
| 2026-03-25 | 6598.35 | 6591.9 | 6633.94 | 6568.41 | 2919894001 | 19247649265192 | 0 |
| 2026-03-24 | 6552.09 | 6556.37 | 6595.75 | 6525.11 | 3088358984 | 20248424191928 | 0 |
| 2026-03-23 | 6574.96 | 6581 | 6651.62 | 6565.55 | 3486098260 | 22942012649060 | 0 |
| 2026-03-20 | 6594.66 | 6506.48 | 6594.66 | 6473.52 | 7040255867 | 45807283993518 | 0 |
| 2026-03-19 | 6583.12 | 6606.49 | 6636.74 | 6557.82 | 3244958242 | 21437784176191 | 0 |
| 2026-03-18 | 6697.16 | 6624.7 | 6705.18 | 6621.66 | 3009753418 | 19938713468225 | 0 |
| 2026-03-17 | 6722.35 | 6716.09 | 6754.3 | 6710.8 | 2900989570 | 19483307041181 | 0 |
| 2026-03-16 | 6674.37 | 6699.38 | 6729.79 | 6674.37 | 3025489352 | 20268902855002 | 0 |
| 2026-03-13 | 6673.49 | 6632.19 | 6733.3 | 6623.92 | 2964237203 | 19659384335365 | 0 |
| 2026-03-12 | 6725.48 | 6672.62 | 6740.88 | 6670.4 | 3496195599 | 23328784677798 | 0 |
| 2026-03-11 | 6790.09 | 6775.8 | 6811.15 | 6745.59 | 2979127057 | 20185969112821 | 0 |
| 2026-03-10 | 6796.56 | 6781.48 | 6845.08 | 6759.74 | 3146682858 | 21339166867870 | 0 |
| 2026-03-09 | 6699.8 | 6795.99 | 6810.44 | 6636.04 | 3701318518 | 25154123635143 | 0 |
| 2026-03-06 | 6769.03 | 6740.02 | 6773.42 | 6711.56 | 3407767395 | 22968420397648 | 0 |
| 2026-03-05 | 6851.08 | 6830.71 | 6870.43 | 6770.78 | 3703063165 | 25294550591797 | 0 |
| 2026-03-04 | 6831.69 | 6869.5 | 6885.94 | 6811.64 | 3193784051 | 21939699538345 | 0 |
| 2026-03-03 | 6800.26 | 6816.63 | 6840.05 | 6710.42 | 3509315001 | 23921701915267 | 0 |
| 2026-03-02 | 6824.36 | 6881.62 | 6901.01 | 6796.85 | 3458583834 | 23800659683731 | 0 |
| 2026-02-27 | 6856.54 | 6878.88 | 6882.96 | 6831.74 | 4585000092 | 31539665432857 | 0 |
| 2026-02-26 | 6944.74 | 6908.86 | 6947.25 | 6859.73 | 3452201112 | 23850774174652 | 0 |
| 2026-02-25 | 6915.15 | 6946.13 | 6952.51 | 6915.15 | 3302178966 | 22937364381102 | 0 |
| 2026-02-24 | 6837.37 | 6890.07 | 6899.17 | 6815.43 | 3167064220 | 21821294170295 | 0 |
| 2026-02-23 | 6901.25 | 6837.75 | 6916.96 | 6819.82 | 3261707166 | 22302738174317 | 0 |
| 2026-02-20 | 6843.26 | 6909.51 | 6915.86 | 6836.33 | 3339510807 | 23074383316075 | 0 |
| 2026-02-19 | 6861.34 | 6861.89 | 6879.12 | 6833.06 | 2928310082 | 20093741668575 | 0 |
