code,name,price,pe_inv,pb_inv,ps_inv,pcf_inv,dividend,chg_5d,chg_10d,chg_20d,chg_60d,chg_ytd,turnover,market_cap,volume_ratio,value_score,quality_score,growth_score,momentum_score,volatility_score,liquidity_score,combined_factor,weight
sh600583,海油工程,6.87,0.06863417982155114,0.8771929824561404,0.8928571428571428,0.1183431952662722,2.93,-2.0,-2.14,2.23,8.19,25.14,1.04,30375000000.0,0.79,1.427503796023007,1.123578519285871,-1.114633430500273,1.556868864769228,1.267622119821734,-0.05772349125899472,0.9125422779346906,0.024200336382425563
sh600901,江苏金租,6.85,0.08291873963515754,0.6535947712418301,0.16051364365971107,0.053022269353128315,5.84,-1.01,1.18,4.58,11.2,11.93,1.29,39674000000.0,2.27,0.7536538571340065,1.641591992463123,-0.65566672382369,1.0304186228917875,0.8815073361978722,0.9087736076138133,0.909392166309752,0.023959590671041628
sh600282,南钢股份,5.25,0.08920606601248884,0.8695652173913044,1.7857142857142856,0.1122334455667789,3.88,-8.38,-9.01,0.0,-6.08,-0.19,0.54,32367000000.0,0.91,1.613115156435546,1.3169215761759723,0.1967000171471069,1.6823925879215005,0.17848702261857768,-0.9582159102087803,0.9038556825222278,0.023542256668253183
sh601567,三星电气,24.77,0.056657223796034,0.33783783783783783,0.4385964912280702,0.036337209302325583,5.53,-5.64,-4.66,-13.42,-5.46,7.6,1.58,34807000000.0,1.14,0.371222720825078,1.5905202415864925,-0.4152555917550038,1.46132095610108,-0.2586240531820204,0.9794929075313357,0.8917197149073822,0.022652715918310324
sh600398,海澜之家,6.38,0.0706713780918728,0.5988023952095809,0.7042253521126761,0.14619883040935672,2.82,-5.34,-2.45,3.57,1.27,5.45,0.57,30642000000.0,0.81,1.2773110285394305,1.0798027328201876,-0.25498150370921296,1.6936335183530478,1.4570369193353265,-0.9865036301757896,0.8878772533871093,0.02237813854538954
sz000951,中国重汽,23.42,0.06053268765133172,0.5882352941176471,2.0833333333333335,0.020445716622367615,3.06,-1.68,-7.39,2.99,35.38,38.58,1.37,27514999999.999996,0.91,0.8576679528241243,1.1345224659022919,-1.3987556774905388,2.4879926021823517,-1.1146332432915247,0.22986832840559632,0.8850938239414157,0.022181319236023143
sh600968,海油发展,4.22,0.09057971014492755,0.6896551724137931,1.1764705882352942,0.1183431952662722,3.2,-0.47,-5.17,-9.25,4.2,9.9,0.61,42897000000.0,1.24,1.4947542889261007,1.1600583413406071,-0.5391037506994785,1.4725618865326273,0.7358036442643399,-0.2887398709895672,0.8743523862748758,0.021437874988789647
sz002532,天山铝业,17.98,0.05790387955993052,0.3496503496503497,0.3546099290780142,0.0968054211035818,2.76,-8.45,-1.8,13.8,-2.97,11.81,1.26,83225000000.0,0.87,0.59897772345689,1.050618875176399,-0.6374537592730318,1.3994958387275724,-0.06556666137008978,1.43209642700348,0.8643316071582948,0.02076679269189356
sz000513,丽珠集团,32.8,0.06743088334457181,0.49751243781094534,0.4016064257028112,0.11123470522803114,3.37,-2.93,-4.62,-1.26,-8.38,-4.82,1.69,29123000000.0,2.41,0.9567503457013495,1.1965381633953431,0.5682444939805316,0.693190709945384,0.9325036283746087,0.7343326678172577,0.8510021099259889,0.01990657271398855
sh600863,华能蒙电,4.71,0.06142506142506142,0.5649717514124294,0.5617977528089888,0.18214936247723132,3.89,1.51,-5.8,-11.63,-1.46,5.13,1.28,36904000000.0,1.12,1.1504317652622602,1.327865522792393,-0.22584076042815993,0.8524372243922967,0.5318184755573941,0.7767642477677708,0.8409814453435958,0.019283432674501774
